Title,Description,Price,Link
Java Project-Based Course,Java Project-Based Course for Intermediate Level Students ;Overview: This course is designed for int,"$30
per session",https://brainlox.com/courses/6a0fc4c9-2074-4854-ac31-c7dfad9ed932
Artificial Intelligence Adventures: Building AI Chatbot Like Chatgpt (For Kids),Unlock the power of AI chatbots in our 10-day course! Gain comprehensive knowledge of chatbot develo,"$30
per session",https://brainlox.com/courses/51890aee-163e-4ef7-86ff-fe0d6acba7e1
Python Playground: Create a Hangman Game,Python Playground : Create a Hangman Game is an exciting and engaging course designed specifically f,"$30
per session",https://brainlox.com/courses/c4bdeda0-9565-4073-9eeb-67f4a79e9ec7
Scratch Playground: Create a Maze Game!,Scratch Playground : Create a Maze Game! is a beginner-level course designed to introduce kids to th,"$30
per session",https://brainlox.com/courses/cc34d7ec-62ae-4018-b75e-207df98a4300
Artificial Intelligence Essentials: Summer Bootcamp,Join us for this engaging 5-day summer bootcamp where we will explore the fascinating world of Artif,"$30
per session",https://brainlox.com/courses/0544dc35-181e-4e75-b26d-69393de68022
"Time Mastery Camp: AI for Jobs, Business, Careers","The ""AI for Productivity and Time Management"" course: 🚀💡 Day 1: Introduction to AI and its Applica","$30
per session",https://brainlox.com/courses/8ca45c22-2dae-4c21-840c-8c9a177d09b3
Build Your Own Theme Park in Roblox,"Roblox Studio fundamentals are taught through fun and interactive projects. Lectures, projects, hand","$30
per session",https://brainlox.com/courses/5d6b48ea-641e-4707-b7cf-c4f270789c9e
Java Coding Summer Camp for Young Minds,"Java Journey: Coding Camp for Curious Minds"" is a fun-filled, 5-day adventure into the world of prog","$30
per session",https://brainlox.com/courses/7ef0ff36-cf58-4ce7-a010-b6bc7350d78a
AI Camp for Entrepreneurs: Build Business Success,"Welcome to the world of AI in entrepreneurship! In this course, we will embark on a thrilling journ","$30
per session",https://brainlox.com/courses/72423503-2e09-4404-92f5-48292dda42e3
ChatGPT Boot Camp: Basics & Best Uses,Join us for an exciting journey into the world of AI chatbots with this 5-day bootcamp. You'll learn,"$30
per session",https://brainlox.com/courses/24e3bb16-bc23-4e6e-a74c-1ed32005cf0f
Create-A-Bot: A Project-Based Robotics Exploration,"Ignite your child's tech curiosity with our ""RoboRacers"" camp! Over five days, campers will delve in","$30
per session",https://brainlox.com/courses/31e70d66-efd5-44fc-929c-7de0e524624b
Java & Proramming,""" Project outline for JAVA PROJECT BASED BOOTCAMP 1: Introduction to Java and Programming Basics. 2.","$30
per session",https://brainlox.com/courses/89d301ea-ff81-4224-8d38-a35e8575bffd
Chatbot Creators: Design a ChatGPT-like AI,Join us on a 7-day bootcamp to step into the world of AI and create your own chatbot like ChatGPT. Y,"$30
per session",https://brainlox.com/courses/1af061fc-0890-40ac-98ae-01285283c5ff
Web Development from scratch,"Unlock the boundless potential of web development with our ""Web Development Essentials"" course. Whet","$30
per session",https://brainlox.com/courses/37b3b505-f8ca-4fd6-92e1-56da829f1805
Summer Camp: Introduction to Python,"Step into our 7-day ""Python Project Playground"" camp where coding meets creativity! Kids will explor","$30
per session",https://brainlox.com/courses/9829d760-3d63-456a-a1d3-25b96e554819
AI Secrets Revealed: Master Productivity Hacks That Will Blow Your Mind! (For Kids),"Boost your productivity with AI! Join our ""AI for Productivity and Time Management"" course and lea","$30
per session",https://brainlox.com/courses/af72f1d6-ee1b-48ba-a217-30985c593bb5
"Summer Bootcamp with JavaScript: Real Projects, Real Results","In this 5-day camp, you'll dive headfirst into JavaScript, one of the world's most popular programmi","$30
per session",https://brainlox.com/courses/189a9ef3-be9d-4b42-a09c-75665fa36e3e
AI Disruption: Top Entrepreneurs Harnessing AI for Unprecedented Success! (For Kids),"Understand the role and potential of AI in entrepreneurship, learn the fundamentals, explore data ac","$30
per session",https://brainlox.com/courses/88ac0ed1-e388-41c9-a1b4-bd82beb52c10
The AI Writer's Masterclass: Innovation and Inspiration in Creative Writing! (For Kids),Enhance your creative writing skills with AI! Join our 10-day course and explore AI's role in writin,"$30
per session",https://brainlox.com/courses/7ad05239-54cb-4cbb-8cec-4065512db97a
Web Development Pro: Intermediate Level,"Ready to unlock the full potential of web development? Join our ""Intermediate Web Development Master","$32
per session",https://brainlox.com/courses/7f20a234-094c-457a-b2b4-8712bd8f0616
Scratch Playground: Create a Scroller Game!,Scratch Playground : Create a Scroller Game is an intermediate level course designed to teach kids t,"$30
per session",https://brainlox.com/courses/03549fee-5478-4352-b146-f2a2c8561191
AI Pro: Creative Writing Camp for Adults,🚀 Welcome to Creative Writing with AI for ADULTS! Unleash your creativity with cutting-edge AI tec,"$30
per session",https://brainlox.com/courses/94c549e6-ebca-4bbe-b1a8-17beda62b6d5
Python Playground: Create Your Own Snake Game,"Through this course, participants will learn the fundamentals of Python programming language, as wel","$30
per session",https://brainlox.com/courses/5ba67aa9-b272-42ec-88d2-81cd5af6c643
Build your own Calculator using Python Bootcamp for kids,This bootcamp is a fun and engaging program designed to introduce children to the basics of programm,"$30
per session",https://brainlox.com/courses/848a2ee8-b9ce-464a-bcbc-78fcdd67b9dd
Python Playground: Create a Tic Tac Toe Game,An interactive and hands-on tutorial designed to help learners build their programming skills while,"$30
per session",https://brainlox.com/courses/4d6f6d90-a53f-4792-a491-1697bb384d57
Scratch Playground: Create a Flappy Bird Game!,Scratch Playground 103: Create a Flappy Bird is a beginner to intermediate level course designed to,"$30
per session",https://brainlox.com/courses/d6e5c1ea-f3bf-4435-a1c6-7566aef9ddc2
"HTML, CSS, JavaScript: 7-Day Summer Bootcamp","Jump into the vibrant world of coding with our engaging 7-day summer camp! Starting from scratch, yo","$30
per session",https://brainlox.com/courses/3cdb1ba6-7b9d-4a04-8ba4-bfffbef9a77f
Hands-on Java: Project-based Learning for Coding Novices,"Embark on a coding adventure with our ""Code, Create, Conquer"" Java camp! In just 7 days, kids will l","$30
per session",https://brainlox.com/courses/6ffc967e-8caf-4540-b0f3-c1e684195d03
Python Playground: Create a Memory Game,Python Playground: Create a Memory Game is a beginner-level course designed for kids who are interes,"$30
per session",https://brainlox.com/courses/8c6151e3-3141-4a64-8fe0-d5df205e750d
Summer Bootcamp: 5-Day Scratch Programming for Beginners,Embark on an exciting coding adventure with our 5-day Scratch Programming camp! Designed for beginne,"$30
per session",https://brainlox.com/courses/db80cdd0-d396-482a-913e-1fc81c8d9ac4
5-Day Summer Camp: Python for Beginners,"Dive into coding with our 5-day ""Python Playground"" camp! Kids will explore Python, a popular langua","$30
per session",https://brainlox.com/courses/9e2df5e5-3dc5-4c87-b385-f464642d8562
Build a Text analyzer using Python Bootcamp for kids,The Build a Text Analyzer using Python Bootcamp for Kids is an educational program designed to intro,"$30
per session",https://brainlox.com/courses/0884af64-fb1b-4c15-9850-3315b99fd92d
Scratch Playground : Create a Platformer Game!,Scratch Playground : Create a Platformer Game is an intermediate level course designed to teach kids,"$30
per session",https://brainlox.com/courses/4b7a6968-f8f6-4f98-bd8d-357b71ca9496
Introduction to Artificial Intelligence!,"Welcome to the ""Introduction to Artificial Intelligence and Python"" course! This course is designed","$30
per session",https://brainlox.com/courses/9e0490f4-e45b-41df-858c-34a4eba5836b
"Python Playground: Create a Rock, Paper, Scissors Game",This is an engaging course designed for kids who are interested in learning programming with Python.,"$30
per session",https://brainlox.com/courses/fd86f75c-b1b5-450d-98ee-7e3ad0b1e357
AI in Stock Market Success: Career Growth Camp !!,Are you ready to unlock the secrets of predicting stock prices using AI? 📈🤖 Join our immersive cou,"$30
per session",https://brainlox.com/courses/c110330f-d41d-48fe-8433-88e7527c4d77
From Beginner to AI Pro: Kickstart Your Journey With Artificial Intelligence! (For Kids),"Dive into the world of AI! 🤖 Join our ""Introduction to Artificial Intelligence"" course and unlock t","$30
per session",https://brainlox.com/courses/1164fafc-7e5b-4126-b1d6-ce228e266345
Game development using python,"Welcome to the ""Introduction to Python Game Development"" course! In this course, you'll embark on a","$30
per session",https://brainlox.com/courses/a06e18a8-3e06-4777-85c5-fb22b35ea46d
Build a Image manipulator using Python Bootcamp for kids,The Build a Image Manipulator using Python Bootcamp for Kids is a program designed to introduce chil,"$30
per session",https://brainlox.com/courses/50986fd0-ea11-4d2e-971f-5fb88fb81542
Build a Weather app using Python Bootcamp for kids,Build a Weather App using Python Bootcamp for Kids is an educational program designed to introduce y,"$30
per session",https://brainlox.com/courses/5f754053-de57-4f46-9bb3-b11d5c9e42e0
Build Your Own Roblox Battle Arena,"Roblox Studio fundamentals are taught through fun and interactive projects. Lectures, projects, hand","$30
per session",https://brainlox.com/courses/f6853a9e-84ce-40c6-9362-00fcf701e459
The Millionaire's AI Playbook: Learn How to Predict Stock Prices! (For Kids),Learn to predict stock prices using the incredible potential of AI and machine learning in our compr,"$30
per session",https://brainlox.com/courses/931b56d8-4192-43e1-ba10-0ce6f94cb2ed
Machine Learning: 7-Day Project-Based Summer Camp,"Join our ""Machine Learning Mania"" camp for a 7-day tech adventure! Kids will tackle machine learning","$30
per session",https://brainlox.com/courses/1db857a4-f374-49fb-af9c-0f6d2e5ada45
AI Pro Camp: Career Growth Catalyst,Our Intro to AI for Adults course is designed to equip professionals with essential knowledge and pr,"$30
per session",https://brainlox.com/courses/7f24d6b5-1645-4184-83d4-6deab75b13f1
Minecraft Java Programming for Beginners,Session-1: Introduction to Java programming and Minecraft. Lesson 2: Getting Started in Creative Mod,"$30
per session",https://brainlox.com/courses/0bc0c9fa-9749-4129-91de-c286a474e9b3
Build a Chatbot using Python Bootcamp for kids,This bootcamp is a fun and interactive program designed to teach children how to create their own ch,"$30
per session",https://brainlox.com/courses/5abad7b0-953d-4527-8aa9-4d3ca80ff500
Build a Password generator using Python Bootcamp for kids,"Welcome to the Build a Password Generator using Python Bootcamp for Kids! In this bootcamp, you will","$30
per session",https://brainlox.com/courses/7544e04d-82d5-447e-9935-c784455c2de3
Scratch Playground: Create a Space Game!,Scratch Playground : Create a Space Game is an intermediate-level course designed to introduce kids,"$30
per session",https://brainlox.com/courses/7472b97e-7b73-42dc-b0ef-972832e7bad5
Create Your Own Roblox Obstacle Course,Roblox enthusiasts who want to learn how to design and build their own custom obstacle courses withi,"$30
per session",https://brainlox.com/courses/5a45c3b4-3f6e-48dc-ab92-71a1cd38db28
Java Minecraft Creative or Survival Mode,1. Title: Minecraft Java Programming for Beginners Overview: This class is designed for complete beg,"$30
per session",https://brainlox.com/courses/ebe89ac6-5b3a-479d-adab-d6e2d5297773
AI Camp for Jobs & Business:Build Your own ChatGPT,🌟Welcome to the Chatbot Mastery Course! 🎓 Get ready to unlock the secrets of building intelligent,"$30
per session",https://brainlox.com/courses/eab79907-4de4-4413-bb44-a92e253aa5c6
"HTML, CSS, JavaScript Essentials: 5-Day Coding Bootcamp",Unleash your creativity in our fun and interactive 5-day summer camp. No prior experience needed. Yo,"$30
per session",https://brainlox.com/courses/2bf6f84c-f096-459a-a8fb-e629d263f109
